Concept,paragraph,definitions,similarity,Verbe,noed_connected,key_list
plan risk management,"plan risk management be the process of define how to conduct risk management activity for a project . the key 
 benefit of this process be that it ensure that the degree , type , and visibility of risk management be proportionate to both 
 risk and the importance of the project to the organization and other stakeholder . this process be perform once or 
 at predefine point in the project . the input , tool and technique , and output of the process be depict in figure 
 11 - 2 . figure 11 - 3 depict the data flow diagram for the process . 
 plan risk management 
 input 
 figure 11 - 2 . plan risk management : input , tool & technique , and output 
  
 charter 
 figure 11 - 3 . plan risk management : datum flow diagram 
 the plan risk management process should begin when a project be conceive and should be complete early in the 
 project . it may be necessary to revisit this process later in the project life cycle , for example at a major phase change , or 
 if the project scope change significantly , or if a subsequent review of risk management effectiveness determine that 
 the project risk management process require modification . 
 ",how to conduct risk management activity for a project,"['risk management plan', 'plan risk response']",be,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'management', 'plan', 'process', 'stakeholder']"
project charter,"describe in section 4.1.3.1 . the project charter document the high - level project description and boundary , high- 
 level requirement , and risk . 
 ",high - level project description and boundary,[],document,"['project document', 'project document', 'project document']","['charter', 'section', 'description', 'project', 'requirement']"
project management plan,"describe in section 4.2.3.1 . in planning project risk management , all approve subsidiary management plan 
 should be take into consideration in order to make the risk management plan consistent with they . the methodology 
 outline in other project management plan component might influence the plan risk management process . 
 ",subsidiary management plan,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan', 'project management plan update']",planning,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'outline', 'planning', 'subsidiary', 'plan']"
project document,"project document that can be consider as input for this process include but be not limit to the stakeholder 
 register as describe in section 13.1.3.1 . the stakeholder register contain detail of the project ’s stakeholder and 
 provide an overview of their project role and their attitude toward risk on this project . this be useful in determine 
 role and responsibility for manage risk on the project , as well as set risk threshold for the project . 
 ",stakeholder,"['project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['project document', 'project document', 'project document']","['stakeholder', 'risk', 'responsibility', 'overview', 'document']"
enterprise environmental factor,"the enterprise environmental factor that can influence the plan risk management process include but be not 
 limit to overall risk threshold set by the organization or key stakeholder . 
 ",overall risk threshold set by the organization or key stakeholder,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']",influence,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']","['risk', 'environmental', 'enterprise', 'stakeholder', 'management']"
organizational process asset,"the organizational process asset that can influence the plan risk management process include but be not 
 limit to : 
  organizational risk policy ; 
  risk category , possibly organize into a risk breakdown structure ; 
  common definition of risk concept and term ; 
  risk statement format ; 
  template for the risk management plan , risk register , and risk report ; 
  role and responsibility ; 
  authority level for decision making ; and 
  lesson learn repository from previous similar project . 
 ",organizational risk policy,"['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",influence,"['risk management plan', 'organizational process asset', 'organizational process asset']","['risk', 'management', 'organizational', 'process', 'asset']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized knowledge 
 or training in the follow topic : 
  familiarity with the organization ’s approach to manage risk , include enterprise risk management where this 
 be perform ; 
  tailor risk management to the specific need of a project ; and 
  type of risk that be likely to be encounter on project in the same area . 
 ",familiarity with the organization ’s approach to manage risk,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['risk management plan', 'project management plan', 'project management plan']","['expertise', 'risk', 'manage', 'management', 'enterprise']"
data analysis,"datum analysis technique that can be use for this process include but be not limit to a stakeholder analysis 
 ( section 13.1.2.3 ) to determine the risk appetite of project stakeholder . 
 ",stakeholder analysis,['data analysis'],be,"['datum analysis', 'datum analysis', 'datum analysis']","['stakeholder', 'datum', 'analysis', 'risk', 'project']"
meeting,"the risk management plan may be develop as part of the project kick - off meeting or a specific planning meeting 
 may be hold . attendee may include the project manager , select project team member , key stakeholder , or team 
 member who be responsible to manage the risk management process on the project . other outside the organization 
 may also be invite , as need , include customer , seller , and regulator . a skilled facilitator can help participant 
 remain focused on the task , agree on key aspect of the risk approach , identify and overcome source of bias , and 
 resolve any disagreement that may arise . 
 plan for conduct risk management activity be define in these meeting and document in the risk 
 management plan ( see section","
 plan for conduct risk management activity","['meeting', 'meeting', 'meeting']",be,"['meeting', 'meeting', 'meeting']","['risk', 'planning', 'management', 'manage', 'facilitator']"
risk management plan,"the risk management plan be a component of the project management plan that describe how risk management 
 activity will be structure and perform . the risk management plan may include some or all of the follow element : 
  risk strategy . describe the general approach to manage risk on this project . 
  methodology . define the specific approach , tool , and datum source that will be use to perform risk 
 management on the project . 
  role and responsibility . define the lead , support , and risk management team member for each type of 
 activity describe in the risk management plan , and clarify their responsibility . 
  funding . identify the fund need to perform activity relate to project risk management . establishe 
 protocol for the application of contingency and management reserve . 
  timing . define when and how often the project risk management process will be perform throughout the 
 project life cycle , and establish risk management activity for inclusion into the project schedule . 
  risk category . provide a means for group individual project risk . a common way to structure risk category 
 be with a risk breakdown structure ( rbs ) , which be a hierarchical representation of potential source of risk ( see 
 example in figure 11 - 4 ) . an rbs help the project team consider the full range of source from which individual 
 project risk may arise . this can be useful when identify risk or when categorize identify risk . the 
 organization may have a generic rbs to be use for all project , or there may be several rbs framework for 
 different type of project , or the project may develop a tailor rbs . where an rbs be not use , an organization 
 may use a custom risk categorization framework , which may take the form of a simple list of category or a 
 structure base on project objective . 
 figure 11 - 4 . extract from sample risk breakdown structure ( rbs ) 
  stakeholder risk appetite . the risk appetite of key stakeholder on the project be record in the risk 
 management plan , as they inform the detail of the plan risk management process . in particular , stakeholder risk 
 appetite should be express as measurable risk threshold around each project objective . these threshold will 
 determine the acceptable level of overall project risk exposure , and they be also use to inform the definition of 
 probability and impact to be use when assess and prioritize individual project risk . 
  definition of risk probability and impact . definition of risk probability and impact level be specific to the 
 project context and reflect the risk appetite and threshold of the organization and key stakeholder . the project 
 may generate specific definition of probability and impact level or it may start with general definition provide 
 by the organization . the number of level reflect the degree of detail require for the project risk management 
 process , with more level use for a more detailed risk approach ( typically five level ) , and few for a simple 
 process ( usually three ) . table 11 - 1 provide an example of definition of probability and impact against three 
 project objective . these scale can be use to evaluate both threat and opportunity by interpret the impact 
 definition as negative for threat ( delay , additional cost , and performance shortfall ) and positive for opportunity 
 ( reduce time or cost , and performance enhancement ) . 
 table 11 - 1 . example of definition for probability and impact 
  probability and impact matrix . describe in section 11.3.2.6 . prioritization rule may be specify by the 
 organization in advance of the project and be include in organizational process asset , or they may be tailor to 
 the specific project . opportunity and threat be represent in a common probability and impact matrix use 
 positive definition of impact for opportunity and negative impact definition for threat . descriptive term 
 ( such as very high , high , medium , low , and very low ) or numeric value can be use for probability and impact . 
 where numeric value be use , these can be multiply to give a probability - impact score for each risk , which 
 allow the relative priority of individual risk to be evaluate within each priority level . an example probability and 
 impact matrix be present in figure 11 - 5 , which also show a possible numeric risk scoring scheme . 
 figure 11 - 5 . example probability and impact matrix with scoring scheme 
  reporting format . reporting format define how the outcome of the project risk management process will 
 be document , analyze , and communicate . this section of the risk management plan describe the content 
 and format of the risk register and the risk report , as well as any other require output from the project risk 
 management process . 
  track . track document how risk activity will be record and how risk management process will 
 be audit . 
 ",risk strategy,"['plan risk management', 'plan risk response']",be,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'management', 'stakeholder', 'threat', 'methodology']"
